"model","horizon","forecasts","MAE","RMSE","relative_MAE"
"ARIMA",1,25,25.2881054333923,31.9195116845723,0.295919601120955
"ARIMA",2,25,31.8368084199571,37.8349503130148,0.373846975340032
"ARIMA",3,25,29.62008745344,38.5536639913421,0.352855325615172
"ARIMA",4,25,39.3867507723827,45.7814998759312,0.481924808785028
"ARIMA",5,25,37.5359528579909,46.3496511610956,0.438975918720949
"ARIMA",6,25,42.4937294881614,52.1606668727502,0.543370281419894
"ARIMA",7,25,45.8999048478588,53.5683813960899,0.557985714172852
"ARIMA",8,25,47.7562313000153,57.2262172108932,0.618027633554396
"ARIMA",9,25,52.7882999808663,60.7736336838953,0.651739591842391
"ARIMA",10,25,51.6758040998817,61.7849888687563,0.66558222694335
"ARIMA",11,25,58.961410304221,66.7305790808869,0.74957297615333
"ARIMA",12,25,58.4614759233098,66.6795308918081,0.750815215289605
"ETS",1,25,24.8025149008556,32.3272668522263,0.290237255439707
"ETS",2,25,33.1338458441544,40.6550498096413,0.389077569799841
"ETS",3,25,28.7348930104951,38.1319769436025,0.34231026649308
"ETS",4,25,42.0259678917344,51.29072445595,0.514217500633007
"ETS",5,25,32.591498532644,45.4098408076958,0.381151454046919
"ETS",6,25,42.6268727997229,53.0608402987841,0.545072794226931
"ETS",7,25,40.6688413346757,50.6556911715173,0.494393889310427
"ETS",8,25,42.6996387535902,54.2661359241123,0.552588761175979
"ETS",9,25,46.1272540833976,54.9543191230794,0.56950039611089
"ETS",10,25,48.0632846614134,58.3273611560162,0.619053125469004
"ETS",11,25,49.4741729178663,58.1196762539602,0.628962279657594
"ETS",12,25,55.8513179659594,63.7189691609071,0.717293203097187
"Seasonal naive",1,25,85.456,100.228043979717,1
"Seasonal naive",2,25,85.16,99.3205074493681,1
"Seasonal naive",3,25,83.944,97.0955982524439,1
"Seasonal naive",4,25,81.728,96.1745746026463,1
"Seasonal naive",5,25,85.508,98.8238898242728,1
"Seasonal naive",6,25,78.204,89.9903217018363,1
"Seasonal naive",7,25,82.26,94.2067407354697,1
"Seasonal naive",8,25,77.272,88.5090368267557,1
"Seasonal naive",9,25,80.996,92.1035829921942,1
"Seasonal naive",10,25,77.64,89.0908749536112,1
"Seasonal naive",11,25,78.66,88.5501959342835,1
"Seasonal naive",12,25,77.864,89.4697267236242,1
